Incident,ReferenceText,# of tokens,# of types,# of predicates,# of manual predicates,# of automatic predicates,# of frame elements,# of manual frame elements,# of automatic frame elements
http://www.wikidata.org/entity/Q23018346,Clinton haunted by coal country comment.naf,1031,346,217,0,217,0,0,0
http://www.wikidata.org/entity/Q23018346,2016 General Election Turnout.naf,35,28,7,0,7,0,0,0
http://www.wikidata.org/entity/Q23018346,"Deep in Virginia’s craggy coal country, they saw Trump as their only hope.naf",1833,531,401,0,401,0,0,0
http://www.wikidata.org/entity/Q23018346,West Virginia Presidential Primary Ballots Set.naf,161,96,21,0,21,0,0,0
http://www.wikidata.org/entity/Q4147375,Severe Hailstorm.naf,104,74,32,0,32,0,0,0
http://www.wikidata.org/entity/Q5285326,Arab News.naf,755,347,166,0,166,0,0,0
http://www.wikidata.org/entity/Q5285326,Djibouti incumbent wins one-man poll.naf,1025,343,205,0,205,0,0,0
http://www.wikidata.org/entity/Q30635857,Clipping from The Pioche Record.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q30635857,Clipping from Nevada State Journal.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q30635857,Clipping from Reno Gazette-Journal.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q30635857,Clipping from The Daily Appeal.naf,84,55,13,0,13,0,0,0
http://www.wikidata.org/entity/Q4781931,IRS Gives April 16 Storm Victims Additional 48 Hours to File Income Tax Returns.naf,220,124,48,0,48,0,0,0
http://www.wikidata.org/entity/Q4781931,Tuckahoe Train Station The Flood of Apr 16 2007.naf,85,56,9,0,9,0,0,0
http://www.wikidata.org/entity/Q4781931,NOAA's National Weather Service.naf,192,114,26,0,26,0,0,0
http://www.wikidata.org/entity/Q4781931,Patriot's Day Storm Packs a 156-mph Punch.naf,346,176,75,0,75,0,0,0
http://www.wikidata.org/entity/Q4781931,"More than 100,000 without power as storm hits Ontario, Quebec.naf",724,290,182,0,182,0,0,0
http://www.wikidata.org/entity/Q39047048,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39047048,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q5501881,Oscar Temaru elected French Polynesia’s president for fourth time in five years.naf,192,105,43,0,43,0,0,0
http://www.wikidata.org/entity/Q6155838,"January 25, 2000 Winter Storm.naf",534,238,111,0,111,0,0,0
http://www.wikidata.org/entity/Q39046296,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046296,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q21714331,"Biography of Machado, Bernardino.naf",541,205,73,0,73,0,0,0
http://www.wikidata.org/entity/Q39060208,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q30643826,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q30643826,United States presidential election of 1960.naf,1842,610,386,0,386,0,0,0
http://www.wikidata.org/entity/Q30643826,Results of 1960 Presidential Election Primaries.naf,21,16,2,0,2,0,0,0
http://www.wikidata.org/entity/Q198851,TERRIFIC HURRICANE.naf,57,39,10,0,10,0,0,0
http://www.wikidata.org/entity/Q198851,NASA.naf,36,26,6,0,6,0,0,0
