Incident,ReferenceText,# of tokens,# of types,# of predicates,# of manual predicates,# of automatic predicates,# of frame elements,# of manual frame elements,# of automatic frame elements
http://www.wikidata.org/entity/Q29096745,U.S. presidential election of 1972.naf,1487,546,331,0,331,0,0,0
http://www.wikidata.org/entity/Q7487455,Ancient History in depth: Shangri-La.naf,1943,639,358,0,358,0,0,0
http://www.wikidata.org/entity/Q7487455,Mistaken Foreign Myths about Shambhala.naf,1325,499,235,0,235,0,0,0
http://www.wikidata.org/entity/Q5598969,Death toll from storm in Oregon and Washington rises to 13.naf,812,310,195,0,195,0,0,0
http://www.wikidata.org/entity/Q5598969,Nation’s Largest Sitka Spruce Dies In Oregon Storm.naf,643,332,125,0,125,0,0,0
http://www.wikidata.org/entity/Q5598969,Washington and Oregon Residents Fight to Save Homes From Muddy Waters.naf,1206,470,328,0,328,0,0,0
http://www.wikidata.org/entity/Q5598969,Northwest reels from deadly back-to-back storms.naf,1075,399,267,0,267,0,0,0
http://www.wikidata.org/entity/Q1481974,Eyemouth Museum.naf,113,73,20,0,20,0,0,0
http://www.wikidata.org/entity/Q1481974,the Silver Darlings.naf,635,259,160,0,160,0,0,0
http://www.wikidata.org/entity/Q1481974,World of Boats at Eyemouth Maritime Centre (Museum) ~ A World Class Boat and Dinghy Collection from all over the World. Visit Us at the Eyemouth Maritime Centre (Museum).naf,708,342,139,0,139,0,0,0
http://www.wikidata.org/entity/Q60448181,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60448181,RESULTS - 2020 Presidential Primary.naf,139,76,27,0,27,0,0,0
http://www.wikidata.org/entity/Q60448181,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60448181,2020 Electoral Interactive Map.naf,52,36,12,0,12,0,0,0
http://www.wikidata.org/entity/Q60448181,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60448181,"Biden dominates the electoral map, but here's how the race could tighten.naf",1868,645,304,0,304,0,0,0
http://www.wikidata.org/entity/Q60448181,"West Virginia: Election Tools, Deadlines, Dates, Rules, and Links.naf",102,52,28,0,28,0,0,0
http://www.wikidata.org/entity/Q60448181,Poll shows incumbents leading races for surveyed WV voters.naf,325,138,38,0,38,0,0,0
http://www.wikidata.org/entity/Q60448181,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60448181,Voting & Elections Toolkits.naf,517,182,103,0,103,0,0,0
http://www.wikidata.org/entity/Q60448181,Trump administration rolls back Obama-era rule aimed at limiting power plants’ toxic wastewater.naf,947,379,245,0,245,0,0,0
http://www.wikidata.org/entity/Q3789908,Apple Music on Twitter.naf,46,35,14,0,14,0,0,0
http://www.wikidata.org/entity/Q3789908,Apple axes annual Apple Music Festival in London after 10 years.naf,388,194,64,0,64,0,0,0
http://www.wikidata.org/entity/Q3789908,iTunes Festival returns to Channel 4.naf,564,173,105,0,105,0,0,0
http://www.wikidata.org/entity/Q7053914,Snowstorm blankets southern New England.naf,629,308,155,0,155,0,0,0
http://www.wikidata.org/entity/Q7053914,Record snowfall buries New York City.naf,781,335,204,0,204,0,0,0
http://www.wikidata.org/entity/Q7053914,Information for the World's Business Leaders.naf,33,30,9,0,9,0,0,0
http://www.wikidata.org/entity/Q39046100,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046100,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q39059982,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q39047060,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39047060,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q20710134,"Clinton, Obama turn it down some In first one-on-one, they play nicer, spar some on Iraq.naf",928,366,192,0,192,0,0,0
http://www.wikidata.org/entity/Q39046281,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046281,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q30643828,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q30643828,United States presidential election of 1960.naf,1842,610,386,0,386,0,0,0
http://www.wikidata.org/entity/Q23018267,Scott Copeland wins Idaho Constitution Party primary.naf,616,243,109,0,109,0,0,0
http://www.wikidata.org/entity/Q23018267,"Patrick Ockander drops out of Constitution Party presidential race, endorses J.R. Myers and Ted Cruz.naf",198,112,30,0,30,0,0,0
http://www.wikidata.org/entity/Q55636645,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q48842059,United States presidential election of 1932.naf,735,324,158,0,158,0,0,0
http://www.wikidata.org/entity/Q23018347,Joe Biden Decides Not to Enter Presidential Race.naf,249,131,50,0,50,0,0,0
http://www.wikidata.org/entity/Q23018347,Office of the Clerk of the U.S. House of Representatives.naf,43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q30643823,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q30643823,United States presidential election of 1960.naf,1842,610,386,0,386,0,0,0
http://www.wikidata.org/entity/Q7511477,"SIAKA STEVENS, FORMER PRIME MINISTER AND PRESIDENT OF SIERRA LEONE, DIES.naf",834,370,202,0,202,0,0,0
http://www.wikidata.org/entity/Q3591470,It’s been 31 years since deadly tornadoes hit central Ontario.naf,136,80,36,0,36,0,0,0
http://www.wikidata.org/entity/Q3591470,30 years later: What we’ve learned since the Barrie tornado.naf,1104,393,248,0,248,0,0,0
http://www.wikidata.org/entity/Q3591470,The 1985 Barrie Tornado Revisited.naf,571,261,165,0,165,0,0,0
http://www.wikidata.org/entity/Q3591470,Deadly Skies: Canada's Most Destructive Tornadoes.naf,313,175,73,0,73,0,0,0
http://www.wikidata.org/entity/Q3591470,"May 31, 1985 outbreak: How a 'lost' 14th tornado was found.naf",1340,439,286,0,286,0,0,0
http://www.wikidata.org/entity/Q3591470,The United States - Canadian Outbreak.naf,604,189,108,0,108,0,0,0
http://www.wikidata.org/entity/Q3591470,Northeastern Tornadoes.naf,282,142,55,0,55,0,0,0
http://www.wikidata.org/entity/Q3591470,'The sky was green': Barrie looks back on fatal tornado 30 years later.naf,569,248,141,0,141,0,0,0
http://www.wikidata.org/entity/Q3591470,"May 31, 1985 Tornado Outbreak: 35th Anniversary.naf",1412,451,302,0,302,0,0,0
http://www.wikidata.org/entity/Q60519452,Joe Biden Wins Kansas Primary Conducted Exclusively By Mail.naf,408,199,80,0,80,0,0,0
http://www.wikidata.org/entity/Q60519452,2020 Election Polls.naf,55,42,5,0,5,0,0,0
http://www.wikidata.org/entity/Q60519452,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60519452,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60519452,2020 Electoral Interactive Map.naf,52,36,12,0,12,0,0,0
http://www.wikidata.org/entity/Q60519452,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60519452,Democrats Win Native American Communities in Down-Ballot Bright Spot.naf,1122,447,210,0,210,0,0,0
http://www.wikidata.org/entity/Q60519452,"Biden dominates the electoral map, but here's how the race could tighten.naf",1868,645,304,0,304,0,0,0
http://www.wikidata.org/entity/Q60519452,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60519452,"Kansas: Election Tools, Deadlines, Dates, Rules, and Links.naf",122,64,27,0,27,0,0,0
http://www.wikidata.org/entity/Q60519448,"Indiana: Election Tools, Deadlines, Dates, Rules, and Links.naf",72,41,14,0,14,0,0,0
http://www.wikidata.org/entity/Q60519448,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60519448,Karen Tallian Attorney General Poll.naf,61,41,10,0,10,0,0,0
http://www.wikidata.org/entity/Q60519448,Election Results.naf,23,21,4,0,4,0,0,0
http://www.wikidata.org/entity/Q60519448,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60519448,2020 Electoral Interactive Map.naf,52,36,12,0,12,0,0,0
http://www.wikidata.org/entity/Q60519448,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60519448,"Biden dominates the electoral map, but here's how the race could tighten.naf",1868,645,304,0,304,0,0,0
http://www.wikidata.org/entity/Q60519448,"Tallian best positioned Democrat to win Indiana attorney general race, poll finds.naf",199,117,25,0,25,0,0,0
http://www.wikidata.org/entity/Q60519448,Polls 2020-11-02 (larger states).naf,337,173,62,0,62,0,0,0
http://www.wikidata.org/entity/Q60519448,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60519448,Indiana Election Results.naf,27,22,8,0,8,0,0,0
http://www.wikidata.org/entity/Q60519448,Voting & Elections Toolkits.naf,517,182,103,0,103,0,0,0
http://www.wikidata.org/entity/Q4575042,"40 Years Ago, Iran Was Hit by the Deadliest Blizzard in History.naf",415,214,111,0,111,0,0,0
http://www.wikidata.org/entity/Q4782020,Remembering that April Fool’s Day blizzard 20 years ago.naf,926,322,194,0,194,0,0,0
http://www.wikidata.org/entity/Q23018277,Why did Hillary Clinton do relatively well in Johnson County? College diplomas.naf,304,152,69,0,69,0,0,0
http://www.wikidata.org/entity/Q23018277,Joe Biden Decides Not to Enter Presidential Race.naf,249,131,50,0,50,0,0,0
http://www.wikidata.org/entity/Q23018277,Office of the Clerk of the U.S. House of Representatives.naf,43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q60519438,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60519438,Green Party of Hawai'i Presidential Preference Poll.naf,130,76,24,0,24,0,0,0
http://www.wikidata.org/entity/Q60519438,Hawaii Voter Surveys: How Different Groups Voted.naf,64,47,15,0,15,0,0,0
http://www.wikidata.org/entity/Q60519438,Hawaii Primary Election Results 2020.naf,27,24,7,0,7,0,0,0
http://www.wikidata.org/entity/Q60519438,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60519438,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60519438,Nevada and South Carolina GOP cancel 2020 presidential nominating contests.naf,1339,386,283,0,283,0,0,0
http://www.wikidata.org/entity/Q60519438,"Biden dominates the electoral map, but here's how the race could tighten.naf",1868,645,304,0,304,0,0,0
http://www.wikidata.org/entity/Q60519438,How Asian Americans Are Thinking About The 2020 Election.naf,1469,459,285,0,285,0,0,0
http://www.wikidata.org/entity/Q60519438,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q5111285,Search the Archive.naf,162,109,25,0,25,0,0,0
http://www.wikidata.org/entity/Q5111285,"Rainstorm Clobbers East Coast; 2 Reported Dead, Electricity Out.naf",43,32,10,0,10,0,0,0
http://www.wikidata.org/entity/Q39047253,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39047253,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q48843780,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39047233,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q60771644,U.S. presidential election of 1936.naf,1161,454,239,0,239,0,0,0
http://www.wikidata.org/entity/Q3586550,"France comments on Tahiti impasse, presidential elections in four days.naf",261,134,67,0,67,0,0,0
http://www.wikidata.org/entity/Q3586550,Gaston Flosse re-elected as French Polynesia leader.naf,303,167,65,0,65,0,0,0
http://www.wikidata.org/entity/Q3586550,New French Polynesian assembly to elect assembly president.naf,230,124,62,0,62,0,0,0
http://www.wikidata.org/entity/Q60519453,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60519453,"Kentucky: Election Tools, Deadlines, Dates, Rules, and Links.naf",129,65,29,0,29,0,0,0
http://www.wikidata.org/entity/Q60519453,Kentucky Election Results.naf,192,114,33,0,33,0,0,0
http://www.wikidata.org/entity/Q60519453,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60519453,2020 Electoral Interactive Map.naf,52,36,12,0,12,0,0,0
http://www.wikidata.org/entity/Q60519453,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60519453,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60519453,Voting & Elections Toolkits.naf,517,182,103,0,103,0,0,0
http://www.wikidata.org/entity/Q60519453,Trump administration rolls back Obama-era rule aimed at limiting power plants’ toxic wastewater.naf,947,379,245,0,245,0,0,0
http://www.wikidata.org/entity/Q3517855,National Weather Service.naf,1283,435,230,0,230,0,0,0
http://www.wikidata.org/entity/Q3517855,Salem (Oregon) Online History.naf,930,395,249,0,249,0,0,0
http://www.wikidata.org/entity/Q3517855,"50 years later, Columbus Day Windstorm still ranks as greatest.naf",1762,560,359,0,359,0,0,0
http://www.wikidata.org/entity/Q4611820,Brisbane in chaos after wild storm.naf,184,117,49,0,49,0,0,0
http://www.wikidata.org/entity/Q4611820,Weather bureau rates storm worst since 2004.naf,463,248,75,0,75,0,0,0
http://www.wikidata.org/entity/Q4611820,Raging storms claim second victim.naf,429,225,136,0,136,0,0,0
http://www.wikidata.org/entity/Q60519405,U.S. presidential election of 1936.naf,1161,454,239,0,239,0,0,0
http://www.wikidata.org/entity/Q3586578,Information annual ... a continuous cyclopedia ... 1916..naf,25,20,2,0,2,0,0,0
http://www.wikidata.org/entity/Q39060196,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q5985531,National Weather Service Forecast Office.naf,749,258,144,0,144,0,0,0
http://www.wikidata.org/entity/Q2115164,Ghana's Leader Wins Election as President.naf,215,128,55,0,55,0,0,0
http://www.wikidata.org/entity/Q39060209,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q186166,How the Galveston Hurricane of 1900 Became the Deadliest U.S. Natural Disaster.naf,808,304,160,0,160,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from Star-Gazette.naf,1851,729,436,0,436,0,0,0
http://www.wikidata.org/entity/Q186166,HOUSTON SHIP CHANNEL.naf,1411,544,338,0,338,0,0,0
http://www.wikidata.org/entity/Q186166,Galveston was 'The Ellis Island of the West'.naf,596,241,139,0,139,0,0,0
http://www.wikidata.org/entity/Q186166,The story behind a lost statue honoring victims of Galveston's deadly 1900 hurricane.naf,867,345,184,0,184,0,0,0
http://www.wikidata.org/entity/Q186166,Town Abandoned After 2 Hurricanes : Ruins Mark Once-Busy Texas Port.naf,1075,438,250,0,250,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from El Paso Herald.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,William Marsh Rice and His Legacy.naf,900,390,191,0,191,0,0,0
http://www.wikidata.org/entity/Q186166,Central Standard Time Zone - CST.naf,196,99,43,0,43,0,0,0
http://www.wikidata.org/entity/Q186166,The 10 Worst U.S. Natural Disasters.naf,1166,486,249,0,249,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from Natchez Democrat.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from The Times-Democrat.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,The Portal to Texas History.naf,95,59,11,0,11,0,0,0
http://www.wikidata.org/entity/Q186166,Portrait of a Legend: The Great Storm of 1900: St. Mary’s Orphan Asylum.naf,1452,551,301,0,301,0,0,0
http://www.wikidata.org/entity/Q186166,Great Storm of 1900 brought winds of change.naf,1374,555,298,0,298,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from Evening Star.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from Longview News-Journal.naf,687,307,167,0,167,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from Chicago Tribune.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from Victoria Advocate.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,"The Tempest At Galveston: 'We Knew There Was A Storm Coming, But We Had No Idea'.naf",1755,605,365,0,365,0,0,0
http://www.wikidata.org/entity/Q186166,"ROBERT, HENRY MARTYN.naf",653,266,102,0,102,0,0,0
http://www.wikidata.org/entity/Q186166,INDIANOLA HURRICANES.naf,401,207,68,0,68,0,0,0
http://www.wikidata.org/entity/Q186166,History of The Grand.naf,364,165,87,0,87,0,0,0
http://www.wikidata.org/entity/Q186166,U.S. Census Bureau.naf,650,279,133,0,133,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from The Boston Globe.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from The Houston Post.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q186166,Mythic Galveston : reinventing America's third coast.naf,240,173,37,0,37,0,0,0
http://www.wikidata.org/entity/Q186166,Houston Eyes Designer Bonds to Pay for $15 Billion Ike Dike.naf,1459,550,355,0,355,0,0,0
http://www.wikidata.org/entity/Q186166,Clipping from The Semi-Weekly Times-Democrat.naf,32,24,3,0,3,0,0,0
http://www.wikidata.org/entity/Q5567218,Jay-Z confirmed to headline Glastonbury 2008.naf,35,28,7,0,7,0,0,0
http://www.wikidata.org/entity/Q5567218,Jay-Z's Glastonbury Wonderwall dig at Noel Gallagher.naf,122,78,21,0,21,0,0,0
http://www.wikidata.org/entity/Q5567218,Glasto tix still left.naf,699,201,170,0,170,0,0,0
http://www.wikidata.org/entity/Q5567218,Glastonbury ends on-going ticketing saga.naf,615,244,144,0,144,0,0,0
http://www.wikidata.org/entity/Q5567218,'Middle-aged rockers dilute Glastonbury spirit'.naf,449,189,93,0,93,0,0,0
http://www.wikidata.org/entity/Q5567218,UK Festival Awards 2020.naf,231,127,55,0,55,0,0,0
http://www.wikidata.org/entity/Q30644575,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q30644575,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q56279898,United States presidential election of 1940.naf,510,265,107,0,107,0,0,0
http://www.wikidata.org/entity/Q4621984,Storm Prediction Center Severe Thunderstorm Watch 411.naf,642,187,123,0,123,0,0,0
http://www.wikidata.org/entity/Q4621984,"40 years ago today, a tornado ripped through West Stockbridge.naf",866,328,174,0,174,0,0,0
http://www.wikidata.org/entity/Q4621984,Brother’s tornado death rocks West Springfield family.naf,84,62,18,0,18,0,0,0
http://www.wikidata.org/entity/Q4621984,"News and Information from Northampton, MA by the Daily Hampshire Gazette.naf",85,56,9,0,9,0,0,0
http://www.wikidata.org/entity/Q4621984,Massachusetts Severe Storms and Tornadoes.naf,214,94,38,0,38,0,0,0
http://www.wikidata.org/entity/Q4621984,"Massachusetts digs out after three tornadoes kill 3, hurt 200.naf",968,390,270,0,270,0,0,0
http://www.wikidata.org/entity/Q4621984,Springfield tornado death toll at 3; Massachusetts Congressional delegation appeals to President Obama for disaster declaration.naf,1392,486,417,0,417,0,0,0
http://www.wikidata.org/entity/Q4621984,Storm Prediction Center Severe Thunderstorm Watch 410.naf,1248,404,149,0,149,0,0,0
http://www.wikidata.org/entity/Q4621984,"Tornado Damages Connecticut River Walk in Springfield, Mass..naf",157,95,36,0,36,0,0,0
http://www.wikidata.org/entity/Q4621984,Gov. Deval Patrick requests federal disaster aid for tornadoes.naf,57,47,17,0,17,0,0,0
http://www.wikidata.org/entity/Q4621984,"Massachusetts Tornadoes: At Least 3 Dead; Springfield, Westfield Hard Hit.naf",1052,381,280,0,280,0,0,0
http://www.wikidata.org/entity/Q4621984,"In Brimfield, terror -- and death -- arrived in a cloud laden with debris.naf",565,215,138,0,138,0,0,0
http://www.wikidata.org/entity/Q4621984,Hundreds still homeless after tornadoes.naf,455,183,122,0,122,0,0,0
http://www.wikidata.org/entity/Q4621984,Victims lament Massachusetts tornadoes’ huge toll.naf,1507,508,408,0,408,0,0,0
http://www.wikidata.org/entity/Q4621984,Insurance claims for tornadoes hit $140m.naf,343,187,107,0,107,0,0,0
http://www.wikidata.org/entity/Q4621984,Tornado History Project: 20110601.25.1.naf,604,189,108,0,108,0,0,0
http://www.wikidata.org/entity/Q4621984,Springfield Massachusetts tornado and other June 1st storms on the Storm Time Machine.naf,91,49,13,0,13,0,0,0
http://www.wikidata.org/entity/Q4621984,Helping Homeless Tornado Victims.naf,402,171,98,0,98,0,0,0
http://www.wikidata.org/entity/Q4621984,Annual Fatal Tornado Summaries.naf,1514,493,280,0,280,0,0,0
http://www.wikidata.org/entity/Q4621984,Tornado History Project: Massachusetts.naf,604,189,108,0,108,0,0,0
http://www.wikidata.org/entity/Q4621984,Cathedral High School: A review of the latest stories on future of Springfield school.naf,126,76,29,0,29,0,0,0
http://www.wikidata.org/entity/Q4621984,Red Cross Helping After Tornadoes Tear Through Massachusetts.naf,717,276,200,0,200,0,0,0
http://www.wikidata.org/entity/Q4621984,"65 years ago, nightmare tornado killed 94 Central Mass..naf",1268,448,295,0,295,0,0,0
http://www.wikidata.org/entity/Q4621984,National Weather Service Text Product Display.naf,2351,376,28,0,28,0,0,0
http://www.wikidata.org/entity/Q4621984,Mother gives up life to save her daughter during tornado.naf,932,364,235,0,235,0,0,0
http://www.wikidata.org/entity/Q957459,Miami Commission rejects contract for Ultra Music Festival.naf,1075,395,279,0,279,0,0,0
http://www.wikidata.org/entity/Q957459,Rapture Festival threatens to sue Ultra over Miami venue.naf,1032,376,263,0,263,0,0,0
http://www.wikidata.org/entity/Q957459,The A State of Trance 500 line-up is now complete!.naf,471,237,34,0,34,0,0,0
http://www.wikidata.org/entity/Q957459,Ultra Miami Not Offering Refunds for 2020… Here’s What You Get Instead.naf,374,180,58,0,58,0,0,0
http://www.wikidata.org/entity/Q957459,Miami commissioners will decide future of Ultra in downtown.naf,1238,420,316,0,316,0,0,0
http://www.wikidata.org/entity/Q957459,"Ultra Music Festival Announces 2015 Aftermovie, 2016 Ticket Options.naf",1378,535,267,0,267,0,0,0
http://www.wikidata.org/entity/Q957459,Miami Ultra Music Festival at the Winter Music Conference (WMC) 2008.naf,405,216,70,0,70,0,0,0
http://www.wikidata.org/entity/Q957459,ULTRA MUSIC FESTIVAL CELEBRATES ITS 10-YEAR ANNIVERSARY WITH ALL-STAR ELECTRONIC ARTIST LINE UP.naf,972,470,94,0,94,0,0,0
http://www.wikidata.org/entity/Q957459,Miami's Ultra Music Festival sets record attendance.naf,282,156,59,0,59,0,0,0
http://www.wikidata.org/entity/Q957459,Ultra Music Festival takes over Miami.naf,582,302,125,0,125,0,0,0
http://www.wikidata.org/entity/Q957459,"ULTRA MUSIC FESTIVAL 2013 Concludes with Most Successful Year Yet - 330,000 Fans and 10,000,000+ Online Views.naf",1797,680,325,0,325,0,0,0
http://www.wikidata.org/entity/Q957459,ULTRA MUSIC FESTIVAL ANNOUNCES EXCLUSIVE FLASH SALE!.naf,1300,485,251,0,251,0,0,0
http://www.wikidata.org/entity/Q957459,2008: 11th Edition.naf,21,17,5,0,5,0,0,0
http://www.wikidata.org/entity/Q957459,Ultra Worldwide Expands: UMF Australia is Coming in 2018.naf,172,116,25,0,25,0,0,0
http://www.wikidata.org/entity/Q957459,The Ultra Music Festival will be broadcast live on Twitch.naf,319,174,84,0,84,0,0,0
http://www.wikidata.org/entity/Q957459,"ULTRA MUSIC FESTIVAL: THE BRAVERY, ERIC PRYDZ, JUNKIE XL, UNION JACK WITH FIRST PERFORMANCE IN SEVEN YEARS, VJv2 AND THE VEEZ.naf",1221,562,113,0,113,0,0,0
http://www.wikidata.org/entity/Q957459,Ultra Music Festival Miami.naf,866,335,125,0,125,0,0,0
http://www.wikidata.org/entity/Q957459,Ultra Music Festival: Smashing Records And Global Expansion.naf,1077,392,208,0,208,0,0,0
http://www.wikidata.org/entity/Q957459,Deadmau5 to Fill In For The Prodigy After the Group's Cancellation of Their Ultra Music Festival Set.naf,147,84,30,0,30,0,0,0
http://www.wikidata.org/entity/Q957459,Ultra Music Festival.naf,671,306,168,0,168,0,0,0
