Inc ID,Event type ID,Lang,# of Ref texts,day_0,day_1,day_2_to_30,day_31_beyond,unknown
http://www.wikidata.org/entity/Q23018346,http://www.wikidata.org/entity/Q858439,en,4,0,0,1,0,3
http://www.wikidata.org/entity/Q4147375,http://www.wikidata.org/entity/Q81054,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q5285326,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q30635857,http://www.wikidata.org/entity/Q858439,en,4,0,0,0,0,4
http://www.wikidata.org/entity/Q4781931,http://www.wikidata.org/entity/Q81054,en,5,0,0,0,1,4
http://www.wikidata.org/entity/Q39047048,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q5501881,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q6155838,http://www.wikidata.org/entity/Q81054,en,1,0,0,1,0,0
http://www.wikidata.org/entity/Q39046296,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q21714331,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q39060208,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q30643826,http://www.wikidata.org/entity/Q858439,en,3,0,0,0,0,3
http://www.wikidata.org/entity/Q198851,http://www.wikidata.org/entity/Q81054,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q29096745,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q7487455,http://www.wikidata.org/entity/Q868557,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q5598969,http://www.wikidata.org/entity/Q81054,en,4,0,0,0,2,2
http://www.wikidata.org/entity/Q1481974,http://www.wikidata.org/entity/Q81054,en,3,0,0,0,0,3
http://www.wikidata.org/entity/Q60448181,http://www.wikidata.org/entity/Q858439,en,11,0,0,0,0,11
http://www.wikidata.org/entity/Q3789908,http://www.wikidata.org/entity/Q868557,en,3,0,0,0,2,1
http://www.wikidata.org/entity/Q7053914,http://www.wikidata.org/entity/Q81054,en,3,0,0,0,1,2
http://www.wikidata.org/entity/Q39046100,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q39059982,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q39047060,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q20710134,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q39046281,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q30643828,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q23018267,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q55636645,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q48842059,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q23018347,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q30643823,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q7511477,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q3591470,http://www.wikidata.org/entity/Q81054,en,9,0,0,0,4,5
http://www.wikidata.org/entity/Q60519452,http://www.wikidata.org/entity/Q858439,en,10,0,0,1,0,9
http://www.wikidata.org/entity/Q60519448,http://www.wikidata.org/entity/Q858439,en,13,0,0,0,0,13
http://www.wikidata.org/entity/Q4575042,http://www.wikidata.org/entity/Q81054,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q4782020,http://www.wikidata.org/entity/Q81054,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q23018277,http://www.wikidata.org/entity/Q858439,en,3,0,1,0,0,2
http://www.wikidata.org/entity/Q60519438,http://www.wikidata.org/entity/Q858439,en,10,1,0,0,0,9
http://www.wikidata.org/entity/Q5111285,http://www.wikidata.org/entity/Q81054,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q39047253,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,1,1
http://www.wikidata.org/entity/Q48843780,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q39047233,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q60771644,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q3586550,http://www.wikidata.org/entity/Q858439,en,3,0,0,0,0,3
http://www.wikidata.org/entity/Q60519453,http://www.wikidata.org/entity/Q858439,en,9,1,0,0,0,8
http://www.wikidata.org/entity/Q3517855,http://www.wikidata.org/entity/Q81054,en,3,0,0,0,2,1
http://www.wikidata.org/entity/Q4611820,http://www.wikidata.org/entity/Q81054,en,3,0,2,1,0,0
http://www.wikidata.org/entity/Q60519405,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q3586578,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q39060196,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q5985531,http://www.wikidata.org/entity/Q81054,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q2115164,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q39060209,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q186166,http://www.wikidata.org/entity/Q81054,en,29,0,0,0,15,14
http://www.wikidata.org/entity/Q5567218,http://www.wikidata.org/entity/Q868557,en,6,0,0,0,2,4
http://www.wikidata.org/entity/Q30644575,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q56279898,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q4621984,http://www.wikidata.org/entity/Q81054,en,25,2,3,6,3,11
http://www.wikidata.org/entity/Q957459,http://www.wikidata.org/entity/Q868557,en,63,0,0,0,57,6
http://www.wikidata.org/entity/Q60519415,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q60519479,http://www.wikidata.org/entity/Q858439,en,17,0,0,0,0,17
http://www.wikidata.org/entity/Q7076908,http://www.wikidata.org/entity/Q81054,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q5651331,http://www.wikidata.org/entity/Q81054,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q30643933,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q39047236,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q58433554,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q23018035,http://www.wikidata.org/entity/Q858439,en,5,0,0,0,0,5
http://www.wikidata.org/entity/Q4793607,http://www.wikidata.org/entity/Q81054,en,1,0,0,0,1,0
http://www.wikidata.org/entity/Q309578,http://www.wikidata.org/entity/Q868557,en,8,0,3,0,1,4
http://www.wikidata.org/entity/Q6155782,http://www.wikidata.org/entity/Q81054,en,5,0,0,2,1,2
http://www.wikidata.org/entity/Q434319,http://www.wikidata.org/entity/Q868557,en,6,1,0,0,5,0
http://www.wikidata.org/entity/Q23137,http://www.wikidata.org/entity/Q81054,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q3586530,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
http://www.wikidata.org/entity/Q5598781,http://www.wikidata.org/entity/Q81054,en,3,0,0,0,0,3
http://www.wikidata.org/entity/Q11689148,http://www.wikidata.org/entity/Q81054,en,11,0,0,2,0,9
http://www.wikidata.org/entity/Q6488019,http://www.wikidata.org/entity/Q858439,en,1,1,0,0,0,0
http://www.wikidata.org/entity/Q4611790,http://www.wikidata.org/entity/Q81054,en,1,1,0,0,0,0
http://www.wikidata.org/entity/Q23018229,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q5439799,http://www.wikidata.org/entity/Q81054,en,14,0,0,0,5,9
http://www.wikidata.org/entity/Q30643932,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,0,2
http://www.wikidata.org/entity/Q52557797,http://www.wikidata.org/entity/Q81054,en,1,1,0,0,0,0
http://www.wikidata.org/entity/Q55616701,http://www.wikidata.org/entity/Q858439,en,2,0,0,0,1,1
http://www.wikidata.org/entity/Q22025837,http://www.wikidata.org/entity/Q858439,en,5,0,0,0,0,5
http://www.wikidata.org/entity/Q30643937,http://www.wikidata.org/entity/Q858439,en,4,0,0,0,0,4
http://www.wikidata.org/entity/Q60519467,http://www.wikidata.org/entity/Q858439,en,17,0,0,0,0,17
http://www.wikidata.org/entity/Q2391690,http://www.wikidata.org/entity/Q81054,en,10,0,0,9,0,1
http://www.wikidata.org/entity/Q39046322,http://www.wikidata.org/entity/Q858439,en,1,0,0,0,0,1
