Incident,Total # of Reference Texts,en
http://www.wikidata.org/entity/Q4611790,1,1
http://www.wikidata.org/entity/Q23018229,2,2
http://www.wikidata.org/entity/Q5439799,14,14
http://www.wikidata.org/entity/Q30643932,2,2
http://www.wikidata.org/entity/Q52557797,1,1
http://www.wikidata.org/entity/Q55616701,2,2
http://www.wikidata.org/entity/Q22025837,5,5
http://www.wikidata.org/entity/Q30643937,4,4
http://www.wikidata.org/entity/Q60519467,17,17
http://www.wikidata.org/entity/Q2391690,10,10
http://www.wikidata.org/entity/Q39046322,1,1
http://www.wikidata.org/entity/Q2662317,4,4
http://www.wikidata.org/entity/Q10971509,7,7
http://www.wikidata.org/entity/Q30644587,2,2
http://www.wikidata.org/entity/Q60519416,1,1
http://www.wikidata.org/entity/Q4561228,1,1
http://www.wikidata.org/entity/Q84027698,3,3
http://www.wikidata.org/entity/Q61963712,5,5
http://www.wikidata.org/entity/Q170652,4,4
http://www.wikidata.org/entity/Q21872497,1,1
http://www.wikidata.org/entity/Q60519480,15,15
http://www.wikidata.org/entity/Q24965514,1,1
http://www.wikidata.org/entity/Q23018287,2,2
http://www.wikidata.org/entity/Q17000791,2,2
http://www.wikidata.org/entity/Q30643807,2,2
http://www.wikidata.org/entity/Q932149,2,2
http://www.wikidata.org/entity/Q60441824,18,18
http://www.wikidata.org/entity/Q60519458,34,34
http://www.wikidata.org/entity/Q7053913,2,2
http://www.wikidata.org/entity/Q3403123,2,2
http://www.wikidata.org/entity/Q48842073,1,1
http://www.wikidata.org/entity/Q39047061,2,2
http://www.wikidata.org/entity/Q48843820,1,1
http://www.wikidata.org/entity/Q4595154,2,2
http://www.wikidata.org/entity/Q1549050,3,3
http://www.wikidata.org/entity/Q55604835,1,1
http://www.wikidata.org/entity/Q12858077,3,3
http://www.wikidata.org/entity/Q1150855,4,4
http://www.wikidata.org/entity/Q4612040,1,1
http://www.wikidata.org/entity/Q5066472,1,1
http://www.wikidata.org/entity/Q30641790,1,1
http://www.wikidata.org/entity/Q55604839,5,5
http://www.wikidata.org/entity/Q30644134,2,2
http://www.wikidata.org/entity/Q12064441,3,3
http://www.wikidata.org/entity/Q48845359,1,1
http://www.wikidata.org/entity/Q39047251,2,2
http://www.wikidata.org/entity/Q1325863,17,17
http://www.wikidata.org/entity/Q60519449,12,12
http://www.wikidata.org/entity/Q39060199,1,1
http://www.wikidata.org/entity/Q48842053,1,1
http://www.wikidata.org/entity/Q4609262,2,2
http://www.wikidata.org/entity/Q10681317,3,3
http://www.wikidata.org/entity/Q7570230,8,8
http://www.wikidata.org/entity/Q39060201,1,1
http://www.wikidata.org/entity/Q5598659,2,2
http://www.wikidata.org/entity/Q13451278,28,28
http://www.wikidata.org/entity/Q30638578,1,1
http://www.wikidata.org/entity/Q39047240,2,2
http://www.wikidata.org/entity/Q60519471,9,9
http://www.wikidata.org/entity/Q39046031,2,2
http://www.wikidata.org/entity/Q60519437,25,25
http://www.wikidata.org/entity/Q2090886,7,7
http://www.wikidata.org/entity/Q25046275,1,1
http://www.wikidata.org/entity/Q23018273,2,2
http://www.wikidata.org/entity/Q30642369,1,1
http://www.wikidata.org/entity/Q166283,1,1
http://www.wikidata.org/entity/Q30644585,2,2
http://www.wikidata.org/entity/Q8064873,2,2
http://www.wikidata.org/entity/Q39046325,2,2
http://www.wikidata.org/entity/Q39059975,1,1
http://www.wikidata.org/entity/Q6839755,6,6
http://www.wikidata.org/entity/Q30644113,4,4
http://www.wikidata.org/entity/Q60441838,11,11
http://www.wikidata.org/entity/Q4610424,1,1
http://www.wikidata.org/entity/Q4599837,1,1
http://www.wikidata.org/entity/Q56279392,1,1
http://www.wikidata.org/entity/Q4601957,1,1
http://www.wikidata.org/entity/Q4927032,1,1
http://www.wikidata.org/entity/Q5600047,5,5
http://www.wikidata.org/entity/Q7076933,2,2
http://www.wikidata.org/entity/Q6312086,2,2
http://www.wikidata.org/entity/Q30643836,2,2
http://www.wikidata.org/entity/Q55604838,2,2
http://www.wikidata.org/entity/Q30642189,1,1
http://www.wikidata.org/entity/Q30642200,1,1
http://www.wikidata.org/entity/Q30641305,1,1
http://www.wikidata.org/entity/Q60442108,12,12
http://www.wikidata.org/entity/Q60441801,8,8
http://www.wikidata.org/entity/Q30642708,1,1
http://www.wikidata.org/entity/Q60519433,9,9
http://www.wikidata.org/entity/Q30973589,90,90
http://www.wikidata.org/entity/Q21872940,1,1
http://www.wikidata.org/entity/Q7570228,2,2
http://www.wikidata.org/entity/Q5148818,2,2
http://www.wikidata.org/entity/Q3303211,6,6
http://www.wikidata.org/entity/Q16958645,3,3
http://www.wikidata.org/entity/Q60519428,10,10
http://www.wikidata.org/entity/Q7425636,2,2
http://www.wikidata.org/entity/Q23016793,1,1
http://www.wikidata.org/entity/Q5598783,7,7
http://www.wikidata.org/entity/Q39060080,1,1
http://www.wikidata.org/entity/Q39059980,1,1
http://www.wikidata.org/entity/Q2906686,1,1
http://www.wikidata.org/entity/Q56279377,1,1
http://www.wikidata.org/entity/Q48842075,1,1
http://www.wikidata.org/entity/Q6495330,1,1
http://www.wikidata.org/entity/Q56279556,1,1
