Incident,Total # of Reference Texts,en
http://www.wikidata.org/entity/Q23018346,4,4
http://www.wikidata.org/entity/Q4147375,1,1
http://www.wikidata.org/entity/Q5285326,2,2
http://www.wikidata.org/entity/Q30635857,4,4
http://www.wikidata.org/entity/Q4781931,5,5
http://www.wikidata.org/entity/Q39047048,2,2
http://www.wikidata.org/entity/Q5501881,1,1
http://www.wikidata.org/entity/Q6155838,1,1
http://www.wikidata.org/entity/Q39046296,2,2
http://www.wikidata.org/entity/Q21714331,1,1
http://www.wikidata.org/entity/Q39060208,1,1
http://www.wikidata.org/entity/Q30643826,3,3
http://www.wikidata.org/entity/Q198851,2,2
http://www.wikidata.org/entity/Q29096745,1,1
http://www.wikidata.org/entity/Q7487455,2,2
http://www.wikidata.org/entity/Q5598969,4,4
http://www.wikidata.org/entity/Q1481974,3,3
http://www.wikidata.org/entity/Q60448181,11,11
http://www.wikidata.org/entity/Q3789908,3,3
http://www.wikidata.org/entity/Q7053914,3,3
http://www.wikidata.org/entity/Q39046100,2,2
http://www.wikidata.org/entity/Q39059982,1,1
http://www.wikidata.org/entity/Q39047060,2,2
http://www.wikidata.org/entity/Q20710134,1,1
http://www.wikidata.org/entity/Q39046281,2,2
http://www.wikidata.org/entity/Q30643828,2,2
http://www.wikidata.org/entity/Q23018267,2,2
http://www.wikidata.org/entity/Q55636645,1,1
http://www.wikidata.org/entity/Q48842059,1,1
http://www.wikidata.org/entity/Q23018347,2,2
http://www.wikidata.org/entity/Q30643823,2,2
http://www.wikidata.org/entity/Q7511477,1,1
http://www.wikidata.org/entity/Q3591470,9,9
http://www.wikidata.org/entity/Q60519452,10,10
http://www.wikidata.org/entity/Q60519448,13,13
http://www.wikidata.org/entity/Q4575042,1,1
http://www.wikidata.org/entity/Q4782020,1,1
http://www.wikidata.org/entity/Q23018277,3,3
http://www.wikidata.org/entity/Q60519438,10,10
http://www.wikidata.org/entity/Q5111285,2,2
http://www.wikidata.org/entity/Q39047253,2,2
http://www.wikidata.org/entity/Q48843780,1,1
http://www.wikidata.org/entity/Q39047233,1,1
http://www.wikidata.org/entity/Q60771644,1,1
http://www.wikidata.org/entity/Q3586550,3,3
http://www.wikidata.org/entity/Q60519453,9,9
http://www.wikidata.org/entity/Q3517855,3,3
http://www.wikidata.org/entity/Q4611820,3,3
http://www.wikidata.org/entity/Q60519405,1,1
http://www.wikidata.org/entity/Q3586578,1,1
http://www.wikidata.org/entity/Q39060196,1,1
http://www.wikidata.org/entity/Q5985531,1,1
http://www.wikidata.org/entity/Q2115164,1,1
http://www.wikidata.org/entity/Q39060209,1,1
http://www.wikidata.org/entity/Q186166,29,29
http://www.wikidata.org/entity/Q5567218,6,6
http://www.wikidata.org/entity/Q30644575,2,2
http://www.wikidata.org/entity/Q56279898,1,1
http://www.wikidata.org/entity/Q4621984,25,25
http://www.wikidata.org/entity/Q957459,63,63
http://www.wikidata.org/entity/Q60519415,1,1
http://www.wikidata.org/entity/Q60519479,17,17
http://www.wikidata.org/entity/Q7076908,1,1
http://www.wikidata.org/entity/Q5651331,1,1
http://www.wikidata.org/entity/Q30643933,1,1
http://www.wikidata.org/entity/Q39047236,1,1
http://www.wikidata.org/entity/Q58433554,1,1
http://www.wikidata.org/entity/Q23018035,5,5
http://www.wikidata.org/entity/Q4793607,1,1
http://www.wikidata.org/entity/Q309578,8,8
http://www.wikidata.org/entity/Q6155782,5,5
http://www.wikidata.org/entity/Q434319,6,6
http://www.wikidata.org/entity/Q23137,2,2
http://www.wikidata.org/entity/Q3586530,1,1
http://www.wikidata.org/entity/Q5598781,3,3
http://www.wikidata.org/entity/Q11689148,11,11
http://www.wikidata.org/entity/Q6488019,1,1
