Inc ID,Lang,# of Ref texts,day_0,day_1,day_2_to_30,day_31_beyond,unknown
http://www.wikidata.org/entity/Q17374096,en,112,10,14,32,47,9
http://www.wikidata.org/entity/Q17374096,nl,105,4,8,22,38,33
http://www.wikidata.org/entity/Q1384586,nl,27,0,0,0,26,1
http://www.wikidata.org/entity/Q1384586,en,3,0,0,0,3,0
http://www.wikidata.org/entity/Q2009193,en,7,1,2,0,3,1
http://www.wikidata.org/entity/Q2009193,nl,20,4,0,3,5,8
http://www.wikidata.org/entity/Q62090804,nl,40,14,7,5,7,7
http://www.wikidata.org/entity/Q62090804,en,8,7,1,0,0,0
http://www.wikidata.org/entity/Q1323799,nl,3,0,0,0,2,1
http://www.wikidata.org/entity/Q1323799,en,2,0,0,2,0,0
